OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11182450,CARQUINEZ STRAIT A MARTINEZ CA,Stream,,18050001,,,,,38.02769890000000,-122.1405213000000,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11313325,OLD R A INDIAN SLOUGH CA,Stream,,18040003,,,,,37.91436900000000,-121.5655064000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11313440,FALSE R NR OAKLEY CA,Stream,,18040003,,,,,38.05583330000000,-121.6669444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11337190,SAN JOAQUIN R A JERSEY POINT CA,Stream,,18040003,,,,,38.05214240000000,-121.6888428000000,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,0.1,feet,Level or other surveyed method.,NAVD88,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375326122204801,SAN FRANCISCO BAY A BROOKS ISLAND NR RICHMOND CA,Estuary,,18050002,,,,,37.89066110000000,-122.3465833000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375422122230001,SAN FRANCISCO BAY A RICHMOND POINT NR RICHMOND CA,Estuary,,18050002,,,,,37.90603056000000,-122.3999778000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-375918122250701,SAN PABLO BAY NR SAN PABLO CA,Estuary,,18050002,,,,,37.98839167000000,-122.4187000000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-380106122194201,SAN PABLO BAY EAST OF PINOLE POINT NR HERCULES CA,Estuary,,18050002,,,,,38.01828889000000,-122.3282583000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-380118121440701,DELTA RMP CONF-004,Stream,,18040003,,,,,38.02170000000000,-121.7351610000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-380148122090601,SAN FRANCISCO BAY A MARTINEZ CA,Estuary,,18050001,,,,,38.02992110000000,-122.1527439000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,06,013,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-380337122000301,SUISUN BAY A BUOY 19 NR PORT CHICAGO CA,Estuary,,18050001,,,,,38.06037778000000,-122.0007056000000,24000,.5,seconds,Interpolated from MAP.,NAD83,0,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,013,,,,,,,,,,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SFAN_I&M_FRA1,Franklin Creek,River/Stream,JOMU visitor center; site is upstream of bridge near automatic stream gauge,18050001,,,,,37.9910055600,-122.1323888880,,,,GPS-Unspecified,NAD83,120,ft,,,Topographic Map Interpolation,SEALV,US,06,013,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-Keller North Beach,Keller North Beach,BEACH Program Site-Ocean,North Beach,18050002,,,,,37.9210500000,-122.3869300000,0,,,GPS-Unspecified,NAD83,,,,,,,US,06,013,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-Keller South Beach,Keller South Beach,BEACH Program Site-Ocean,South Beach,18050002,,,,,37.9206590000,-122.3865700000,0,,,GPS-Unspecified,NAD83,,,,,,,US,06,013,,,,,,,,,,STORET
